,Name,Star Rating,State,Date,Players,Matches
88,2024 Adult National Team Trials - Part 3,5,CA,05/28/2024 -05/31/2024,10,19
89,2024 US Junior National Team Trials - Part 2,5,CA,05/23/2024 -05/27/2024,194,973
90,PPC 2024 May 2-Person Teams and Giant RR,2,OR,05/25/2024 -05/26/2024,41,162
91,Westchester 2024 May Open,4,NY,05/25/2024 -05/26/2024,228,952
92,San Antonio Butterfly Pre Summer Open,2,TX,05/25/2024 -05/25/2024,43,132
93,Orlando’s Annual Spring Open,2,FL,05/25/2024 -05/25/2024,51,189
94,PINGPOD Tournament May 2024,0,NY,05/18/2024 -05/23/2024,83,205
95,2024 USATT Southeast Regional Championships,4,FL,05/18/2024 -05/20/2024,161,891
96,"New Jersey Table Tennis Club May 19, 2024 Open",2,NJ,05/19/2024 -05/19/2024,17,42
97,2024 USATT Massachusetts State Championships,4,MA,05/19/2024 -05/19/2024,46,123
98,Saratoga Weekend May 2024,2,CA,05/19/2024 -05/19/2024,57,173
99,2024 USATT Midwest Regional Championships,4,OH,05/17/2024 -05/19/2024,125,474
100,2024 Austin Summer Giant Round Robin,3,TX,05/18/2024 -05/18/2024,65,223
101,2024 USATT Wisconsin Closed State Championships,4,WI,05/18/2024 -05/18/2024,57,170
102,LATTA Butterfly May Open,2,CA,05/18/2024 -05/18/2024,83,244
103,2024 Sac Spring Open presented by Paddle Palace,2,CA,05/18/2024 -05/18/2024,103,343
104,2024 Butterfly Houston Spring Giant Round Robin,1,TX,05/17/2024 -05/18/2024,62,199
105,2024 Fremont Butterfly West Coast Teams,2,CA,05/11/2024 -05/12/2024,40,165
106,LYTTC May Open 2024,0,NJ,05/11/2024 -05/12/2024,93,338
107,2024 MMTTA Paddle Palace Open,4,CA,05/11/2024 -05/12/2024,97,260
108,2024 USATT Southwest Regional Championships,4,TX,05/10/2024 -05/12/2024,125,594
109,Trolley Car Table Tennis Club PingPod May 2024 Open,0,PA,05/11/2024 -05/11/2024,15,46
110,ASLT May 2024 Tournament,2,CA,05/10/2024 -05/11/2024,62,204
111,SATTA May 2024 Open,1,NY,05/05/2024 -05/05/2024,54,160
112,Rhode Island Table Tennis 2024 Butterfly Spring Open,1,RI,05/05/2024 -05/05/2024,52,144
113,2024 Butterfly May Upside Down Tournament,3,NC,05/04/2024 -05/05/2024,66,334
114,2024 Butterfly May Open @ Princeton Pong,3,NJ,05/04/2024 -05/05/2024,95,278
115,2024 ICC JOOLA Summer OPEN,4,CA,05/04/2024 -05/05/2024,162,518
116,Butterfly Pauli Orr Spring Classic Tournament,0,NY,05/04/2024 -05/05/2024,42,187
117,MDTTC May Open,2,MD,05/04/2024 -05/05/2024,106,396
118,2024 Edgeball Teams Tournament,4,IL,05/04/2024 -05/05/2024,167,1047
119,89th Annual USATT Michigan State Championship,4,MI,05/03/2024 -05/05/2024,71,294
120,2024 HCTTC Circuit May,0,MD,05/04/2024 -05/04/2024,34,126
121,2024 USATT RHODE ISLAND STATE CHAMPIONSHIP,4,RI,05/04/2024 -05/04/2024,21,47
122,NYISC May 2024 Open,0,NY,05/04/2024 -05/04/2024,30,82
123,2024 ALABAMA CLOSED CHAMPIONSHIPS,2,AL,05/04/2024 -05/04/2024,64,196
124,Westchester 2024 April Open,4,NY,04/27/2024 -04/28/2024,236,972
125,2024 Butterfly SPTTC April Open,1,WA,04/27/2024 -04/28/2024,117,517
126,2024 Phoenix Open,2,AZ,04/27/2024 -04/28/2024,67,297
127,MLTT Final Four,2,IL,04/27/2024 -04/28/2024,17,16
128,2024 USATT Texas State Championships,4,TX,04/27/2024 -04/28/2024,119,626
129,2024 USATT Pacific Regional Championships,4,CA,04/26/2024 -04/28/2024,223,738
130,Golden Triangle Family & Friends,0,TX,04/27/2024 -04/27/2024,16,48
131,PINGPOD Tournament April 2024,1,NY,04/20/2024 -04/25/2024,83,171
132,"New Jersey Table Tennis Club April 21, 2024 Open",2,NJ,04/21/2024 -04/21/2024,22,65
133,KCTT 2024 SANCTIONED JUNIOR TOURNAMENT,2,KS,04/21/2024 -04/21/2024,19,56
134,2024 Michlin Metals Open,1,IL,04/20/2024 -04/21/2024,107,311
135,2024 PongPlanet Butterfly Championships,3,CA,04/20/2024 -04/21/2024,119,333
136,2024 Big Island Open,1,HI,04/20/2024 -04/20/2024,21,93
137,NorthSide TTC Spring Classic 2024,0,CO,04/20/2024 -04/20/2024,48,210
138,Miami Table Tennis Club April 2024 Tournament,2,FL,04/20/2024 -04/20/2024,61,145
139,Asheville Paddle Palace Spring Open,0,NC,04/20/2024 -04/20/2024,39,110
140,2024 GPPCTX SpinMaster TT Tournament,2,TX,04/20/2024 -04/20/2024,92,261
141,LATTA Butterfly April Open,2,CA,04/20/2024 -04/20/2024,77,207
142,Motor City Spring 2024 Open,4,MI,04/19/2024 -04/20/2024,82,246
143,Gold Coast TTC April 2024 Open,0,NY,04/14/2024 -04/14/2024,34,125
144,LYTTC April Open 2024,0,NJ,04/13/2024 -04/14/2024,89,343
145,2024 Butterfly Puerto Rico Teams Open,4,PR,04/12/2024 -04/14/2024,296,2417
146,2024 Erie Post-Eclipse Open,1,PA,04/12/2024 -04/14/2024,62,257
147,2024 NEWARK BUTTERFLY APRIL OPEN,2,CA,04/13/2024 -04/13/2024,59,130
148,SAN ANTONIO APRIL BUTTERFLY OPEN,2,TX,04/13/2024 -04/13/2024,35,110
149,2024 Butterfly April Open @ Princeton Pong,3,NJ,04/06/2024 -04/07/2024,119,360
150,2024 Virginia Spring Open,3,VA,04/06/2024 -04/07/2024,90,413
151,MLTT Wichita,2,KS,04/05/2024 -04/07/2024,22,24
152,Knoxville 2024 Dogwood Open,2,TN,04/06/2024 -04/06/2024,48,210
153,NYISC April 2024 Open,0,NY,04/06/2024 -04/06/2024,42,109
154,Pennsylvania State Closed,0,PA,04/05/2024 -04/06/2024,50,190
155,PPC 2024 Spring Open,2,OR,03/30/2024 -03/31/2024,93,369
156,Westchester 2024 March Open,4,NY,03/30/2024 -03/31/2024,237,966
157,2024 CTTC Rating Level Open,2,NC,03/29/2024 -03/31/2024,47,132
158,2024 Butterfly March Tournament,4,FL,03/29/2024 -03/31/2024,111,532
159,2024 US Junior National Team Trials - Part 1,5,LA,03/26/2024 -03/30/2024,161,959
160,Newton TTC March Open 2024,0,MA,03/24/2024 -03/24/2024,29,89
161,ORLANDO’S ANNUAL WINTER OPEN,2,FL,03/24/2024 -03/24/2024,67,261
162,2024 TT&M's Butterfly March Madness,2,AZ,03/22/2024 -03/24/2024,61,306
163,2024 Butterfly Triangle Cup,3,NC,03/21/2024 -03/24/2024,107,571
164,2024 US OLYMPIC TEAM TRIALS,5,LA,03/21/2024 -03/24/2024,38,111
165,2024 DFWTT Spring Mini Giant Round Robin,2,TX,03/23/2024 -03/23/2024,63,223
166,LATTA Butterfly March Open,2,CA,03/23/2024 -03/23/2024,98,276
167,Butterfly Spin & Smash March Open,2,OH,03/22/2024 -03/23/2024,53,181
168,"New Jersey Table Tennis Club March 17, 2024 Open",2,NJ,03/17/2024 -03/17/2024,21,68
169,SATTA March 2024 Open,1,NY,03/17/2024 -03/17/2024,73,215
170,Saratoga Weekend March 2024,2,CA,03/17/2024 -03/17/2024,85,229
171,59th Butterfly St. Joseph Valley Open,4,IN,03/16/2024 -03/17/2024,191,987
172,2024 STL Spring Break Championships,2,TX,03/16/2024 -03/17/2024,150,638
173,PINGPOD Tournament March 2024,1,NJ,03/16/2024 -03/17/2024,70,196
174,MLTT Lawrenceville,2,NJ,03/15/2024 -03/17/2024,21,24
175,2024 Austin Spring Open,3,TX,03/16/2024 -03/16/2024,78,277
176,Alameda Ping Pong Gym Spring Open,2,CA,03/16/2024 -03/16/2024,42,97
177,"OCTTA BUTTERFLY OPEN SUNDAY MARCH 10, 2024",2,CA,03/10/2024 -03/10/2024,161,383
178,LYTTC March Open 2024,0,NJ,03/09/2024 -03/10/2024,108,415
179,RCTTC 2024 Groundhog Round Robin,1,TX,03/09/2024 -03/09/2024,24,78
180,San Antonio March Madness Butterfly Open,2,TX,03/09/2024 -03/09/2024,42,139
181,NorthSide TTC Spring Classic 2024,0,CO,03/09/2024 -03/09/2024,59,161
182,Northshore Table Tennis 2024 Spring Open,2,LA,03/09/2024 -03/09/2024,33,116
183,2024 Atlanta Paddle Palace On Demand Tournament,2,GA,03/03/2024 -03/03/2024,23,62
184,2024 March Open @ Princeton Pong,3,NJ,03/03/2024 -03/03/2024,95,309
185,2024 ICC JOOLA Spring OPEN,4,CA,03/02/2024 -03/03/2024,205,595
186,2024 Atlanta Paddle Palace Spring GRR,2,GA,03/02/2024 -03/02/2024,65,256
187,2024 El Paso Spring Giant RR,2,TX,03/02/2024 -03/02/2024,17,59
188,MDTTC March Open,2,MD,03/02/2024 -03/02/2024,116,406
189,NYISC March 2024 Open,0,NY,03/02/2024 -03/02/2024,56,162
190,2024 CTTC February Flash Tournament,2,NC,02/25/2024 -02/25/2024,32,110
191,2024 Best of the West Open & Giant Round Robin,2,AZ,02/24/2024 -02/25/2024,88,454
192,Westchester 2024 February Open,4,NY,02/24/2024 -02/25/2024,251,897
193,MLTT Everett,2,WA,02/23/2024 -02/25/2024,20,24
194,IndyPong February Open,3,AZ,02/23/2024 -02/25/2024,85,316
195, 305TTC - FEBRUARY 2024 TOURNAMENT,2,FL,02/24/2024 -02/24/2024,10,18
196,LATTA Butterfly February Open,2,CA,02/24/2024 -02/24/2024,103,279
197,888TTC SILICON VALLEY CHAMPIONSHIPS 2024,4,CA,02/17/2024 -02/19/2024,244,1025
198,"New Jersey Table Tennis Club February 18, 2024 Open",2,NJ,02/18/2024 -02/18/2024,12,32
199,2024 Butterfly Chinese New Year Tournament,2,NC,02/18/2024 -02/18/2024,84,283
200,2024 HITTA President's Day Tournament,2,TX,02/18/2024 -02/18/2024,114,317
201,NY PingPod February 2024,0,NY,02/18/2024 -02/18/2024,58,136
202,NJ PingPod February 2024,0,NJ,02/18/2024 -02/18/2024,42,86
203,Butterfly Spin & Smash February Open,2,OH,02/17/2024 -02/18/2024,71,300
204,Butterfly Winter Classic,0,NY,02/17/2024 -02/18/2024,58,271
205,ASLT Weekend February 2024,2,CA,02/17/2024 -02/17/2024,89,279
206,Westford TTC February 2024 Open,0,MA,02/11/2024 -02/11/2024,33,122
207,LYTTC Farmer's Insurance Open Feb 2024,0,NJ,02/10/2024 -02/11/2024,99,349
208,MLTT Winter Haven,2,FL,02/09/2024 -02/11/2024,20,24
209,Butterfly 2024 February BTTC Tournament,4,FL,02/09/2024 -02/11/2024,135,771
210,San Antonio Butterfly Winter Giant Round Robin,2,TX,02/10/2024 -02/10/2024,47,159
211,Trolley Car X PingPod February 2024 Open,0,PA,02/10/2024 -02/10/2024,24,61
212,PingPod Kids Tournament - February 2024,0,NY,02/10/2024 -02/10/2024,4,9
213,2024 GPPCTX SpinMaster TT Tournament,2,TX,02/04/2024 -02/04/2024,86,257
214,2024 Flow Chicago Open,1,IL,02/03/2024 -02/04/2024,108,311
215,2024 February Open @ Princeton Pong,3,NJ,02/03/2024 -02/04/2024,95,295
216,2024 Butterfly SPTTC February Open,1,WA,02/03/2024 -02/04/2024,109,428
217,2024 Fremont TTA Butterfly February Open,2,CA,02/02/2024 -02/04/2024,60,135
218,NYISC February 2024 Open,0,NY,02/03/2024 -02/03/2024,44,123
219,2024 Butterfly Houston Lunar New Year Tournament,1,TX,02/03/2024 -02/03/2024,79,211
220,Westchester 2024 January Open,4,NY,01/27/2024 -01/28/2024,255,1008
221,MDTTC January Open,2,MD,01/27/2024 -01/28/2024,106,378
222,2024 Butterfly Teams Tournament,2,NC,01/27/2024 -01/28/2024,88,522
223,MLTT Portland,2,OR,01/26/2024 -01/28/2024,20,24
224,2024 Austin New Year Giant Round Robin,2,TX,01/27/2024 -01/27/2024,67,257
225,2024 Sac Winter Open presented by Paddle Palace,2,CA,01/27/2024 -01/27/2024,126,413
226,LATTA Butterfly Thanh Banh Memorial Open Jan 2024,2,CA,01/27/2024 -01/27/2024,107,290
227,Butterfly S&S January Open,2,OH,01/26/2024 -01/27/2024,68,245
228,"New Jersey Table Tennis Club January 21, 2024 Open",2,NJ,01/21/2024 -01/21/2024,36,118
229,"OCTTA BUTTERFLY OPEN SUNDAY JANUARY 21, 2024",2,CA,01/21/2024 -01/21/2024,128,307
230,Boston Pod Tournament - January 2024 Open,0,MA,01/21/2024 -01/21/2024,9,14
231,PPC 2024 Winter Open,2,OR,01/20/2024 -01/21/2024,64,251
232,2024 Birmingham Hometown Table Tennis Winter Open,2,AL,01/20/2024 -01/20/2024,70,230
233,Fort Lee Pod Tournament - January 2024 Open,0,NJ,01/20/2024 -01/20/2024,19,50
234,NYISC January 2024 Open,0,NY,01/20/2024 -01/20/2024,47,143
235,The Kentucky Open,0,KY,01/20/2024 -01/20/2024,26,78
236,Gold Coast TTC January 2024 Open,0,NY,01/14/2024 -01/14/2024,37,131
237,2024 US World Championship Team Trials,5,TX,01/12/2024 -01/14/2024,28,116
238,LYTTC Barry Dattel Memorial Open Jan 2024,0,NJ,01/13/2024 -01/13/2024,103,390
239,PingPod Kids Tournament - January 2024,0,NY,01/13/2024 -01/13/2024,6,15
240,Pensacola's 22nd Annual Winter Open,2,FL,01/13/2024 -01/13/2024,32,122
241,2024 January Open @ Princeton Pong,3,NJ,01/06/2024 -01/07/2024,95,297
242,MLTT Broward,2,FL,01/05/2024 -01/07/2024,20,24
243,San Antonio Butterfly New Year's Open,2,TX,01/06/2024 -01/06/2024,60,200
244,Family and Friends Closed,0,TX,12/30/2023 -12/30/2023,26,105
245,Westchester December2023 Open,4,NY,12/29/2023 -12/30/2023,205,822
246,2023 USATT Ohio State Championships,4,OH,12/29/2023 -12/30/2023,52,223
247,2023 US Open Table Tennis Championships,5,,12/16/2023 -12/21/2023,926,5834
248,Butterfly S&S December Open,2,OH,12/16/2023 -12/17/2023,68,230
249,Carmel Barrau International Tournament,4,FL,12/15/2023 -12/17/2023,142,911
250,Charleston Winter Round Robin,0,SC,12/10/2023 -12/10/2023,27,101
251,2023 Butterfly December Tournament,2,NC,12/10/2023 -12/10/2023,49,157
252,LATTA Butterfly Open December 2023,2,CA,12/10/2023 -12/10/2023,66,207
253,PPC 2023 December 2-Person Teams and Giant RR,2,OR,12/09/2023 -12/10/2023,73,255
254,888TTC SILICON VALLEY WINTER CUP 2023,4,CA,12/08/2023 -12/10/2023,209,787
255,Lob Palace December Open 2023,2,PA,12/09/2023 -12/09/2023,51,154
256,PingPod Kids Tournament,0,NJ,12/09/2023 -12/09/2023,21,48
257,2023 PACBA Open,1,IL,12/03/2023 -12/03/2023,93,274
258,Westford TTC December 2023 Open,0,MA,12/03/2023 -12/03/2023,36,129
259,2023 December Open @ Princeton Pong,3,NJ,12/02/2023 -12/03/2023,88,273
260,2023 ICC JOOLA Winter Open,4,CA,12/02/2023 -12/03/2023,148,498
261,2023 Valley of the Sun Open,2,AZ,12/02/2023 -12/03/2023,72,262
262,MLTT Rock Hill,2,SC,12/01/2023 -12/03/2023,41,64
263,IndyPong December Open,3,IN,12/02/2023 -12/02/2023,65,217
264,NorthSide TTC Winter Classic,0,CO,12/02/2023 -12/02/2023,57,151
265,Miami Table Tennis Club December 2023 Tournament,2,FL,12/02/2023 -12/02/2023,54,126
266,NYISC December 2023 Open,0,NY,12/02/2023 -12/02/2023,47,150
267,Korean-Friendship-Challenge 2,0,CA,11/30/2023 -11/30/2023,7,6
268,2023 Aurora Fall Open,2,IL,11/25/2023 -11/26/2023,88,283
269,2023 WEST COAST TEAMS,2,CA,11/24/2023 -11/26/2023,30,155
270,2023 JOOLA North American Teams,4,MD,11/24/2023 -11/26/2023,1017,9528
271,SMC PROF. JO KIDD MEMORIAL TOURNAMENT,2,CA,11/19/2023 -11/19/2023,108,382
272,Butterfly S&S November Open,2,OH,11/18/2023 -11/19/2023,60,271
273,Westchester November 2023 Open,4,NY,11/18/2023 -11/19/2023,189,707
274,MDTTC November Open 2023,2,MD,11/18/2023 -11/19/2023,106,385
275,MLTT Pleasanton,2,CA,11/17/2023 -11/19/2023,21,24
276,2023 GPPCTX SpinMaster TT Tournament,2,TX,11/18/2023 -11/18/2023,94,281
277,LATTA Butterfly Open November 2023,2,CA,11/18/2023 -11/18/2023,71,243
278,DAC November Open,0,MI,11/18/2023 -11/18/2023,16,53
279,2023 OXFORD ALABAMA OPEN,2,AL,11/18/2023 -11/18/2023,46,175
280,Florida State Closed Championship,2,FL,11/12/2023 -11/12/2023,43,192
281,SATTA Nov 2023 Open,2,NY,11/12/2023 -11/12/2023,70,211
282,2023 Butterfly November Tournament,0,NC,11/12/2023 -11/12/2023,25,83
283,RITTA 2023 BUTTERFLY OPEN,1,RI,11/12/2023 -11/12/2023,47,148
284,California Table Tennis - Wu's Family Open,2,CA,11/11/2023 -11/12/2023,39,169
285,MLTT Chicago,2,IL,11/10/2023 -11/12/2023,20,24
286,NYISC November 2023 Open,2,NY,11/11/2023 -11/11/2023,33,110
287,Bay Area Butterfly Championships,2,CA,11/11/2023 -11/11/2023,69,199
288,2023 Butterfly Texas Fall Open Tournament,1,TX,11/11/2023 -11/11/2023,80,223
289,7th Annual Mark Nordby Memorial,2,TX,11/11/2023 -11/11/2023,22,104
290,17th Si & Patty Wasserman Junior & Open @ LYTTC,3,NJ,11/10/2023 -11/10/2023,167,783
291,2023 November Open @ Princeton Pong,3,NJ,11/04/2023 -11/05/2023,105,344
292,2023 TT&M's Butterfly Spooky Open,2,AZ,11/03/2023 -11/05/2023,52,271
293,2023 Austin Late Fall Giant Round Robin,3,TX,11/04/2023 -11/04/2023,82,348
294,2023 USATT Oregon State Championships,2,OR,11/04/2023 -11/04/2023,41,107
295,2023 Thanksgiving Grand Round Robin,1,TX,11/04/2023 -11/04/2023,29,128
296,2023 Atlanta Winter Giant Round Robin,2,GA,11/04/2023 -11/04/2023,60,267
297,2023 Butterfly Minnesota Fall Classic and State Championships,1,MN,11/04/2023 -11/04/2023,65,191
298,Korean Friendship Challenge,0,CA,11/04/2023 -11/04/2023,11,53
299,2023 ICC JOOLA Autumn Open,4,CA,10/28/2023 -10/29/2023,160,536
300,2023 Edgeball Chicago International Open,4,IL,10/28/2023 -10/29/2023,388,1768
301,Westchester October 2023 Open,4,NY,10/28/2023 -10/29/2023,225,848
302,MLTT Houston,2,TX,10/27/2023 -10/29/2023,21,24
303,LATTA Butterfly Open October 2023,2,CA,10/28/2023 -10/28/2023,93,305
304,2023 DFWTT Fall Open,2,TX,10/28/2023 -10/28/2023,83,237
305,FLORIDA ORANGE BLOSSOM TABLE TENNIS SERIES FALL CLASSIC OPEN 2023,2,FL,10/27/2023 -10/28/2023,90,396
306,2023 USATT New Jersey State Championships,2,NJ,10/22/2023 -10/22/2023,46,148
307,Homenetmen ARARAT Glendale Friendship Games 2023,2,CA,10/22/2023 -10/22/2023,77,159
308,2023 S & T Transport Open,1,IL,10/21/2023 -10/22/2023,98,266
309,2023 SPTTC October Open & Washington Championships,1,WA,10/21/2023 -10/22/2023,91,314
310,Butterfly S&S October Open,2,OH,10/21/2023 -10/22/2023,79,308
311,Korean invitational Tournament,0,CA,10/21/2023 -10/22/2023,12,66
312,2023 USATT North Carolina State Championships,4,NC,10/20/2023 -10/22/2023,62,200
313,Knoxville Gold Dollar Fall Open,2,TN,10/21/2023 -10/21/2023,48,201
314,NorthSide TTC Fall Classic Tournament,0,CO,10/21/2023 -10/21/2023,40,150
315,NYISC October 2023 Open,2,NY,10/21/2023 -10/21/2023,46,149
316,Arkansas State Closed Championships,1,AR,10/21/2023 -10/21/2023,34,146
317,2023 Butterfly South Texas Open,2,TX,10/21/2023 -10/21/2023,64,256
318,DAC October Open 2023,3,MI,10/21/2023 -10/21/2023,13,55
319,LYTTC Farmer's Insurance Oct Open 2023,3,NJ,10/14/2023 -10/15/2023,75,281
320,MLTT Myrtle Beach,2,SC,10/13/2023 -10/15/2023,20,24
321,2023 Butterfly Fall Cary Cup Tournament,0,NC,10/12/2023 -10/15/2023,85,470
